Unix	jday	U-component_of_wind
1192071600	284	2.76865772947008
1192075200	284	2.42352457248564
1192078800	284	2.16643333069066
1192082400	284	3.65657105555498
1192086000	284	3.00034546086742
1192089600	284	2.35745565383397
1192093200	284	1.4953432062259
1192096800	284	0.60567449269737
1192100400	284	-0.0711339609795539
1192104000	284	-0.922663586130654
1192107600	284	-0.410743706963296
1192111200	284	0.401566042760776
1192114800	284	1.05684429111306
1192118400	284	1.05023539454038
1192122000	284	1.39063973824663
1192125600	284	3.8607756426027
1192129200	284	3.69416763280555
1192132800	284	3.7565480303425
1192136400	284	3.84365210234505
1192140000	284	4.08680647452034
1192143600	284	4.23190660579833
1192147200	285	2.91105401181445
1192150800	285	3.48919656633349
1192154400	285	3.61487573374397
1192158000	285	3.93243407695516
1192161600	285	4.76231485652682
1192165200	285	5.47451263081508
1192168800	285	5.01957804081148
1192172400	285	5.14395197085807
1192176000	285	5.21306231905431
1192179600	285	5.09889690039542
1192183200	285	4.90468135489121
1192186800	285	4.50274476047585
1192190400	285	3.86914449163498
1192194000	285	3.2527763925245
1192197600	285	2.73873799048854
1192201200	285	2.17675907266431
1192204800	285	1.60203102136047
1192208400	285	0.863255019077175
1192212000	285	-1.02122127263928
1192215600	285	-1.6713943059512
1192219200	285	-1.6523573078788
1192222800	285	-1.55813617619041
1192226400	285	-1.95177510024525
1192230000	285	-2.2348793456457
1192233600	286	-2.12976117564889
1192237200	286	-1.73406079542042
1192240800	286	-2.85681550187554
1192244400	286	-4.49275010294293
1192248000	286	-5.38019327274838
1192251600	286	-5.81249712620032
1192255200	286	-5.34211237625661
1192258800	286	-3.98007603487138
1192262400	286	-6.47872337458245
1192266000	286	-3.26170859904916
1192269600	286	4.37381801115968
1192273200	286	8.04233536994409
1192276800	286	8.80996941988136
1192280400	286	8.31922512747976
1192284000	286	10.2431870200575
1192287600	286	11.9673506549782
1192291200	286	12.2687872159002
1192294800	286	12.4855566242264
1192298400	286	10.1091016229137
1192302000	286	10.3630442041557
1192305600	286	10.7769151474819
1192309200	286	11.3756772078496
1192312800	286	11.6757381847244
1192316400	286	11.6032254311211
1192320000	287	11.0938706043064
1192323600	287	10.8180981301799
1192327200	287	10.2175489979691
1192330800	287	9.76466739407487
1192334400	287	9.68816582503855
1192338000	287	9.21195301684304
1192341600	287	7.07712966361372
1192345200	287	7.31464720007505
1192348800	287	7.16594314640573
1192352400	287	7.01406685745697
1192356000	287	6.80057325998548
1192359600	287	6.70857878668394
1192363200	287	6.8797856115202
1192366800	287	6.58567710625223
1192370400	287	6.38141344489711
1192374000	287	6.18410963430969
1192377600	287	5.71605267096624
1192381200	287	4.96121420842205
1192384800	287	4.15070813420185
1192388400	287	1.23477349616986
1192392000	287	-0.452203551487458
1192395600	287	2.41430378902448
1192399200	287	6.14820851762072
1192402800	287	7.6106835652627
1192406400	288	6.3899104471951
1192410000	288	8.10701427997344
1192413600	288	8.1852699531469
1192417200	288	7.72067644938778
1192420800	288	7.40974880191078
1192424400	288	6.9092396132936
1192428000	288	4.3750545202674
1192431600	288	4.3457153531798
1192435200	288	4.60077468867011
1192438800	288	4.43156662606899
1192442400	288	4.53734422938412
1192446000	288	4.81700668698056
1192449600	288	6.63186560039032
1192453200	288	6.39270286430532
1192456800	288	6.44365808779563
1192460400	288	5.39646615603093
1192464000	288	3.49893821639301
1192467600	288	1.72088123847902
1192471200	288	0.834836236833607
1192474800	288	-0.647183896103239
1192478400	288	-0.207426523377417
1192482000	288	1.44750839617662
1192485600	288	3.80264760687318
1192489200	288	5.62966141618327
1192492800	289	5.71226340608495
1192496400	289	7.87095835911385
1192500000	289	8.65608018844118
1192503600	289	7.71538585507339
1192507200	289	6.00242616781407
1192510800	289	4.21058435320233
1192514400	289	2.86350698783888
1192518000	289	-0.743390889428655
1192521600	289	-1.97367522209521
1192525200	289	1.3086848598851
1192528800	289	5.25565436723834
1192532400	289	7.23962049929897
1192536000	289	12.2797595664775
1192539600	289	11.8555337598103
1192543200	289	9.50231021266985
1192546800	289	6.94468250440876
1192550400	289	6.24486469830696
1192554000	289	5.97579536880692
1192557600	289	6.73180573046342
1192561200	289	5.86427854877425
1192564800	289	5.08377691440375
1192568400	289	5.11480646454241
1192572000	289	5.31153700408582
1192575600	289	5.2637555166778
1192579200	290	4.84606390279354
1192582800	290	4.05393310102945
1192586400	290	4.0253538948978
1192590000	290	3.7067469499452
1192593600	290	3.49763690899206
1192597200	290	3.17169786475744
1192600800	290	0.406893706233576
1192604400	290	-0.113193243424947
1192608000	290	-0.337275803036646
1192611600	290	-0.568871884925711
1192615200	290	-1.1178447118074
1192618800	290	-1.61487352918381
1192622400	290	-2.37939064756819
1192626000	290	-2.97232375433301
1192629600	290	-3.12957385063618
1192633200	290	-2.83809283696289
1192636800	290	-2.99513766355202
1192640400	290	-3.24752755781136
1192644000	290	0.806211441374729
1192647600	290	-2.04294318724365
1192651200	290	-3.28322339115578
1192654800	290	-3.6240189155107
1192658400	290	-3.39870077188895
1192662000	290	-3.14093883461752
1192665600	291	-3.59631611816393
1192669200	291	-3.26373638578144
1192672800	291	-3.09283019240288
1192676400	291	-3.10608540326828
1192680000	291	-2.92879556527942
1192683600	291	-2.71260082768956
1192687200	291	-0.696600379635473
1192690800	291	-2.00482903897672
1192694400	291	-2.65126972282762
1192698000	291	-3.12616370349254
1192701600	291	-3.30057957736988
1192705200	291	-3.37842388823513
1192708800	291	-1.40622793776873
1192712400	291	-2.28218889052967
1192716000	291	-2.4144210188106
1192719600	291	-2.48913266663145
1192723200	291	-2.75094855179877
1192726800	291	-3.04442486691963
1192730400	291	-3.39709907934622
1192734000	291	-3.12684589886667
1192737600	291	-2.30654163551491
1192741200	291	-0.462104657278781
1192744800	291	1.21483917948232
1192748400	291	2.1814100015274
1192752000	292	1.93363581165864
1192755600	292	3.17106777020666
1192759200	292	3.65260795275737
1192762800	292	3.89644956319721
1192766400	292	3.83401640029682
1192770000	292	3.63912431583964
1192773600	292	1.65132961833852
1192777200	292	2.00638171825074
1192780800	292	1.89912569209196
1192784400	292	1.96142129768975
1192788000	292	1.99934967993149
1192791600	292	2.0071904864249
1192795200	292	4.14319355611873
1192798800	292	3.06886814177006
1192802400	292	2.33910400736509
1192806000	292	1.89257070285234
1192809600	292	2.22328479463235
1192813200	292	2.30199411287103
1192816800	292	3.52500304347558
1192820400	292	3.07946733602805
1192824000	292	2.97488606044008
1192827600	292	1.80022389476461
1192831200	292	2.76867438560668
1192834800	292	4.93157142925268
1192838400	293	6.14866515628168
1192842000	293	7.40357000365826
1192845600	293	7.68154652563441
1192849200	293	8.18033632241103
1192852800	293	7.85812509788661
1192856400	293	7.13855658387832
1192860000	293	6.89510893248524
1192863600	293	5.78222219306408
1192867200	293	5.18681057580576
1192870800	293	5.36006654039827
1192874400	293	6.26147201520869
1192878000	293	7.43863825384362
1192881600	293	11.5866143691062
1192885200	293	10.7930933858323
1192888800	293	9.5776720318208
1192892400	293	8.54714957701722
1192896000	293	8.3380236325895
1192899600	293	8.25333800788649
1192903200	293	6.60514198496584
1192906800	293	6.22181943027297
1192910400	293	5.664865112651
1192914000	293	5.05579655230006
1192917600	293	4.76081318594091
1192921200	293	4.53660823294562
1192924800	294	5.84337278795768
1192928400	294	5.11473777166881
1192932000	294	5.08075940363553
1192935600	294	5.38896548828758
1192939200	294	5.6725215611578
1192942800	294	5.84914613484682
1192946400	294	6.5691117549621
1192950000	294	6.12808941562464
1192953600	294	5.55012724309012
1192957200	294	5.3475438212351
1192960800	294	5.64449062328181
1192964400	294	6.23203347853599
1192968000	294	7.1686701612575
1192971600	294	7.2826377117328
1192975200	294	7.50507530957812
1192978800	294	8.96098491326477
1192982400	294	9.03542117522727
1192986000	294	8.38193931043957
1192989600	294	5.0642616631792
1192993200	294	4.08145090292145
1192996800	294	4.48656822395075
1193000400	294	5.18871859067028
1193004000	294	5.90057178211502
1193007600	294	6.16293253592483
1193011200	295	5.65472159645303
1193014800	295	5.57215118915476
1193018400	295	5.75258831458032
1193022000	295	6.31966836354619
1193025600	295	5.36523962110383
1193029200	295	4.55097084674466
1193032800	295	2.47523115398623
1193036400	295	2.75408765133476
1193040000	295	3.19286628798643
1193043600	295	1.97389178946233
1193047200	295	0.896002988634313
1193050800	295	-0.0543426722167356
1193054400	295	3.12325397421282
1193058000	295	1.55703228820075
1193061600	295	1.46887312390633
1193065200	295	4.74931628451755
1193068800	295	7.87380025917196
1193072400	295	9.98516464174215
1193076000	295	9.78363082015057
1193079600	295	10.3450663745306
1193083200	295	7.47293654431043
1193086800	295	6.27032271595034
1193090400	295	5.91228263662897
1193094000	295	5.45714589856712
1193097600	296	7.43176764996008
1193101200	296	5.88548548039287
1193104800	296	5.37398514991543
1193108400	296	5.74391819587596
1193112000	296	5.92051526561006
1193115600	296	5.7776619785582
1193119200	296	5.5158944270532
1193122800	296	4.99205202536581
1193126400	296	4.5666032828137
1193130000	296	4.19250865415994
1193133600	296	3.9810122052192
1193137200	296	3.89186918611755
1193140800	296	3.53773065006434
1193144400	296	3.11438806415188
1193148000	296	3.92868820892099
1193151600	296	4.64015600374656
1193155200	296	4.86551642894091
1193158800	296	4.99002647225578
1193162400	296	7.53388376969245
1193166000	296	5.79682068933635
1193169600	296	5.73362798105429
1193173200	296	5.85822228383406
1193176800	296	5.68632663779428
1193180400	296	5.63302996830328
1193184000	297	6.33464846466875
1193187600	297	6.42528925794668
1193191200	297	7.3230206783953
1193194800	297	8.12155272059727
1193198400	297	10.5506935230194
1193202000	297	12.9941197957591
1193205600	297	12.7034649736399
1193209200	297	8.48559603287977
1193212800	297	6.74967868109847
1193216400	297	5.45496339072734
1193220000	297	4.53088665307528
1193223600	297	3.74701633325746
1193227200	297	5.06294711186433
1193230800	297	4.47400467493043
1193234400	297	4.24069597024246
1193238000	297	4.37258634522916
1193241600	297	4.54360544053426
1193245200	297	4.77000327256927
1193248800	297	6.32589568052181
1193252400	297	5.18023669507077
1193256000	297	4.29732132974203
1193259600	297	3.59670771481256
1193263200	297	3.33112337449159
1193266800	297	2.98210460616535
1193270400	298	6.07092223540464
1193274000	298	5.02947266694861
1193277600	298	4.60678953426989
1193281200	298	4.02328032981333
1193284800	298	3.62989419996502
1193288400	298	3.19910131666868
1193292000	298	3.03972081845352
1193295600	298	3.26534053744807
1193299200	298	3.09344764241789
1193302800	298	2.7632733543814
1193306400	298	2.28808376763598
1193310000	298	1.88820082865687
1193313600	298	3.50406946225337
1193317200	298	2.92523488445003
1193320800	298	2.89869147720163
1193324400	298	2.8884946545092
1193328000	298	3.05596580342418
1193331600	298	3.15409114273368
1193335200	298	5.47754190185834
1193338800	298	3.60496535584914
1193342400	298	2.89279448266192
1193346000	298	2.59444674345864
1193349600	298	2.77399375737522
1193353200	298	2.80669189789195
1193356800	299	4.535543695674
1193360400	299	4.87520131778649
1193364000	299	4.6434608605561
1193367600	299	3.53864024201153
1193371200	299	2.95803136196292
1193374800	299	2.53259473149084
1193378400	299	2.83053618755368
1193382000	299	2.42752559646131
1193385600	299	2.57109601154628
1193389200	299	3.00444044869811
1193392800	299	3.02368204832987
1193396400	299	2.63512279177003
1193400000	299	3.59947737566763
1193403600	299	0.996707681374896
1193407200	299	-0.532041490144911
1193410800	299	-1.68287537994064
1193414400	299	-2.57027147940307
1193418000	299	-3.30636800450386
1193421600	299	-1.79129685914051
1193425200	299	-3.99380135457131
1193428800	299	-4.51162684375381
1193432400	299	-4.11020957184804
1193436000	299	-3.0592646777257
1193439600	299	-1.90830661684184
1193443200	300	0.958629812779288
1193446800	300	1.65448734785255
1193450400	300	2.27248421310189
1193454000	300	2.74971837655808
1193457600	300	2.92643220517151
1193461200	300	2.94103188211305
1193464800	300	-0.0534628084567567
1193468400	300	0.68270719342304
1193472000	300	0.178638139975996
1193475600	300	-0.442179558938729
1193479200	300	-1.03945796438987
1193482800	300	-1.60094725094469
1193486400	300	0.279573660246666
1193490000	300	-1.73425054259631
1193493600	300	-2.58907943542557
1193497200	300	-3.10371943839442
1193500800	300	-3.31653154724157
1193504400	300	-3.41463647775941
1193508000	300	-1.91418232905014
1193511600	300	-2.54821260139838
1193515200	300	-2.45782254891751
1193518800	300	-1.76402407348747
1193522400	300	-0.1541572388078
1193526000	300	1.25794383725862
1193529600	301	2.44797797032323
1193533200	301	3.12054715045383
1193536800	301	3.14574229170795
1193540400	301	2.81956060811208
1193544000	301	2.45426613567656
1193547600	301	2.11597525937974
1193551200	301	-0.101147426660828
1193554800	301	0.50685412209496
1193558400	301	0.234947830614203
1193562000	301	-0.0992158044508078
1193565600	301	-0.327563298104929
1193569200	301	-0.583208440933317
1193572800	301	0.511614387809305
1193576400	301	-0.159270659020335
1193580000	301	-0.725302840284689
1193583600	301	-1.01493000166786
1193587200	301	-1.26734180507194
1193590800	301	-1.4864015153387
1193594400	301	-1.04261511692002
1193598000	301	-1.08788465244647
1193601600	301	-0.636488975196574
1193605200	301	0.0831189265115914
1193608800	301	0.657027338690061
1193612400	301	1.06243122477224
1193616000	302	2.97018350148752
1193619600	302	2.42463460558953
1193623200	302	2.26623487277474
1193626800	302	2.01828104505833
1193630400	302	1.74348001975639
1193634000	302	1.48016079242013
1193637600	302	0.194822854445677
1193641200	302	0.498973941903822
1193644800	302	-0.0977623430349362
1193648400	302	-1.06332919935354
1193652000	302	-1.7918334825857
1193655600	302	-2.5637210642679
1193659200	302	-0.877696025347047
1193662800	302	-1.73914525737251
1193666400	302	-1.72968190445515
1193670000	302	-1.48576395214896
1193673600	302	-0.968774307994471
1193677200	302	-0.611509604308113
1193680800	302	0.882139232232626
1193684400	302	0.198242603444876
1193688000	302	0.0294035531942814
1193691600	302	0.164449458408135
1193695200	302	0.73415298057992
1193698800	302	1.28448539457198
1193702400	303	4.46088704252593
1193706000	303	3.21671844892959
1193709600	303	3.31953223778827
1193713200	303	3.69911301656228
1193716800	303	3.24692677716975
1193720400	303	2.41928048677896
1193724000	303	1.12796334795415
1193727600	303	0.950643986759493
1193731200	303	0.787429008447898
1193734800	303	0.388494323766427
1193738400	303	0.0908384146227401
1193742000	303	-0.223669214401006
1193745600	303	1.32586573102072
1193749200	303	0.538056424159997
1193752800	303	0.397695691195016
1193756400	303	0.175415835946923
1193760000	303	-0.355729360271501
1193763600	303	-1.01551868045956
1193767200	303	-0.893549763291203
1193770800	303	-1.62487373436016
1193774400	303	-1.96910472533649
1193778000	303	-2.0204893401679
1193781600	303	-1.06214521400596
1193785200	303	-0.0447156146148318
1193788800	304	1.69768936771493
1193792400	304	0.975611786795412
1193796000	304	0.328687228729116
1193799600	304	-0.156092838692903
1193803200	304	0.370459785215296
1193806800	304	1.28699597136436
1193810400	304	1.30843657283376
1193814000	304	1.62797233296978
1193817600	304	2.11342738094566
1193821200	304	2.8209229428478
1193824800	304	2.89643202503568
1193828400	304	2.90604180507728
1193832000	304	3.24492970860745
1193835600	304	3.62432251830058
1193839200	304	3.95193332745789
1193842800	304	3.82037264232324
1193846400	304	3.15242258099316
1193850000	304	2.60048439029703
1193853600	304	3.97270660889481
1193857200	304	2.27460542863294
1193860800	304	2.27323769077897
1193864400	304	2.93268978185474
1193868000	304	3.66951469257042
1193871600	304	4.12840763077219
